,Error,Rel. mCE,Gauss,Shot,Impulse,Defocus,Glass,Motion,Zoom,Snow,Frost,Fog,Bright,Contrast,Elastic,Pixel,JPEG
2layers_push3_pull5_avg0_inhibition1.0,0.28946805000305176,0.7596287131309509,0.7220070362091064,0.7589475512504578,0.6666063666343689,0.7351189255714417,0.7723351120948792,0.7865428328514099,0.7652266025543213,0.7889846563339233,0.7706369161605835,0.7279787659645081,0.7942379117012024,0.6697320938110352,0.789821445941925,0.8421028852462769,0.8041526079177856
2layers_push3_pull5_avg0_inhibition1.5,0.3103686571121216,0.6556373238563538,0.5424520969390869,0.6411997079849243,0.43293753266334534,0.6574298739433289,0.6812411546707153,0.6800500750541687,0.6955390572547913,0.7080589532852173,0.6830177307128906,0.6514778733253479,0.7027855515480042,0.5678014755249023,0.7266005873680115,0.7353581190109253,0.7286109328269958
2layers_push3_pull5_avg3_inhibition0.5,0.299305260181427,0.7206957936286926,0.6084607839584351,0.6983137130737305,0.49913257360458374,0.748062252998352,0.7425631284713745,0.7811573147773743,0.7796465158462524,0.7514947652816772,0.7486565709114075,0.6891224980354309,0.7569963335990906,0.6504891514778137,0.7780120372772217,0.8078457713127136,0.770484447479248
2layers_push3_pull5_avg3_inhibition1.0,0.3175131678581238,0.6284158229827881,0.5429334044456482,0.6106489896774292,0.4428796172142029,0.6480047702789307,0.6803476810455322,0.6551000475883484,0.6827076077461243,0.6846717000007629,0.6519785523414612,0.551335334777832,0.680585503578186,0.47573408484458923,0.688075065612793,0.7335641384124756,0.6976709961891174
2layers_push3_pull5_avg3_inhibition1.5,0.34446680545806885,0.5118792653083801,0.49072593450546265,0.5622478723526001,0.37861374020576477,0.5016049146652222,0.5643413066864014,0.48146530985832214,0.5414525270462036,0.5789704322814941,0.5009511709213257,0.4009188115596771,0.5627221465110779,0.3197329044342041,0.5596776604652405,0.6409282684326172,0.5938360095024109
2layers_push5_pull5_avg0_inhibition0.5,0.26085132360458374,0.8922947645187378,0.8985515236854553,0.9050427675247192,0.8721835017204285,0.8499842882156372,0.8722821474075317,0.8824097514152527,0.8817033767700195,0.9115288853645325,0.9009377360343933,0.8784586191177368,0.9264482259750366,0.8611266016960144,0.8977954387664795,0.9407790303230286,0.9051884412765503
2layers_push5_pull5_avg0_inhibition1.0,0.2735644578933716,0.8605393767356873,0.8325111269950867,0.8655279278755188,0.7810806632041931,0.8386139869689941,0.9027067422866821,0.8517708778381348,0.8661684989929199,0.8707653284072876,0.8758318424224854,0.8740875720977783,0.8652900457382202,0.8640019297599792,0.8693228363990784,0.8839910626411438,0.8664208054542542
2layers_push5_pull5_avg0_inhibition1.5,0.2630290389060974,0.8949175477027893,0.9617102146148682,0.9427904486656189,0.9498375058174133,0.8291388750076294,0.8687920570373535,0.8860832452774048,0.8480256199836731,0.9001058340072632,0.9101744890213013,0.8497186303138733,0.9090263843536377,0.8658660054206848,0.8675118684768677,0.947876513004303,0.8871060013771057
2layers_push5_pull5_avg3_inhibition0.5,0.2733476758003235,0.8684948682785034,0.8503536581993103,0.8753626346588135,0.7774352431297302,0.8609534502029419,0.9271693825721741,0.8744046688079834,0.8962480425834656,0.8635798096656799,0.8796206712722778,0.8372549414634705,0.8715318441390991,0.8092289566993713,0.8907913565635681,0.9429017901420593,0.8705870509147644
2layers_push5_pull5_avg3_inhibition1.0,0.2871994972229004,0.818243682384491,0.8636812567710876,0.8647943735122681,0.8150831460952759,0.7958634495735168,0.8936235904693604,0.7870809435844421,0.8337942957878113,0.8079062104225159,0.7934190034866333,0.7511618733406067,0.8008227348327637,0.690272331237793,0.8311315178871155,0.9166293740272522,0.8283922076225281
2layers_push5_pull5_avg3_inhibition1.5,0.30866706371307373,0.7731180787086487,0.8626890778541565,0.8164359927177429,0.8516104817390442,0.7775400280952454,0.8556156754493713,0.7878037095069885,0.8091429471969604,0.7445740699768066,0.7749099135398865,0.6520280241966248,0.7393584251403809,0.5664598345756531,0.7733384966850281,0.8346119523048401,0.7506528496742249
2layers_push5_pull5_avg5_inhibition0.5,0.2882313132286072,0.7895193696022034,0.877305269241333,0.8550711870193481,0.8519894480705261,0.7190843820571899,0.8135229349136353,0.7110454440116882,0.753045916557312,0.809536337852478,0.7782589197158813,0.729362964630127,0.8059009313583374,0.7184255123138428,0.7964327931404114,0.8079842925071716,0.8158232569694519
2layers_push5_pull5_avg5_inhibition1.0,0.2878795266151428,0.7914530038833618,0.8726595044136047,0.8619141578674316,0.8227605819702148,0.7574451565742493,0.8233438730239868,0.6908676624298096,0.7800132632255554,0.8170656561851501,0.830775797367096,0.6908108592033386,0.8131905794143677,0.6411482691764832,0.7877964973449707,0.8648315072059631,0.8171700239181519
2layers_push5_pull5_avg5_inhibition1.5,0.3074127435684204,0.6878012418746948,0.7922089099884033,0.799119234085083,0.7249444723129272,0.6319580674171448,0.7728933691978455,0.6151747107505798,0.6361396312713623,0.7365360260009766,0.6819186210632324,0.5560101866722107,0.7066855430603027,0.46154719591140747,0.6939862966537476,0.7628984451293945,0.7449992895126343
